Region,Year,Mean BMI (female)
South-eastern Asia,2010,26.099164815
South-eastern Asia,2011,22.840139665
South-eastern Asia,2011,26.217930175
South-eastern Asia,2012,22.93365279
South-eastern Asia,2012,26.33810471
South-eastern Asia,2013,23.0276656975
South-eastern Asia,2013,26.45861394
South-eastern Asia,2014,23.1220365725
South-eastern Asia,2014,26.579495620000003
South-eastern Asia,2015,22.95880443142857
South-eastern Asia,2015,26.137508843333336
South-eastern Asia,2016,23.050825874285717
South-eastern Asia,2016,26.248791856666667
Southern Asia,2000,21.86553155
Southern Asia,2000,26.07647566
Southern Asia,2001,21.99045665
Southern Asia,2001,26.17575757
Southern Asia,2002,22.1155428425
Southern Asia,2002,26.27115483
Southern Asia,2003,22.23971103625
Southern Asia,2003,26.36139434
Southern Asia,2004,22.36286562375
Southern Asia,2004,26.44662074
Southern Asia,2005,22.4851110675
Southern Asia,2005,26.52622966
Southern Asia,2006,22.25468291142857
Southern Asia,2006,25.835077855
Southern Asia,2007,22.37272595714285
Southern Asia,2007,25.9438308
Southern Asia,2008,22.490558475714288
Southern Asia,2008,26.05362586
Southern Asia,2009,22.608719892857145
Southern Asia,2009,26.163628445
Southern Asia,2010,22.72671110142857
Southern Asia,2010,26.273066895
Southern Asia,2011,22.844951234285716
Southern Asia,2011,26.381570235
Southern Asia,2012,22.96355413142857
Southern Asia,2012,26.489355355
Southern Asia,2013,23.082447094285715
Southern Asia,2013,26.59613847
Southern Asia,2014,23.200750725714283
Southern Asia,2014,26.70225857
Southern Asia,2015,23.318623608571425
Southern Asia,2015,26.80720647
Southern Asia,2016,23.43575627142857
Southern Asia,2016,26.91008598
Western Asia,2000,22.43059599
Western Asia,2000,27.56021188352941
Western Asia,2001,22.55721547
Western Asia,2001,27.62392039705882
Western Asia,2002,22.68027751
Western Asia,2002,30.04444749
Western Asia,2002,27.53768120375
Western Asia,2003,22.79887958
Western Asia,2003,30.09469051
Western Asia,2003,27.596533604375
Western Asia,2004,22.91346517
Western Asia,2004,30.14172396
Western Asia,2004,27.653035068125
Western Asia,2005,23.02338707
Western Asia,2005,30.18458587
Western Asia,2005,27.7069119975
Western Asia,2006,23.1300453
Western Asia,2006,30.224242
Western Asia,2006,27.759591640625
Western Asia,2007,23.23571711
Western Asia,2007,30.26294924
Western Asia,2007,27.81297957375
Western Asia,2008,23.3431351
Western Asia,2008,30.30376268
Western Asia,2008,27.869083415625
Western Asia,2009,23.45104953
Western Asia,2009,30.34586941
Western Asia,2009,27.926705480625
Western Asia,2010,23.55850084
Western Asia,2010,30.38841669
Western Asia,2010,27.984670511875
Western Asia,2011,23.66525107
Western Asia,2011,30.43125679
Western Asia,2011,28.0427184975
Western Asia,2012,23.77193287
Western Asia,2012,30.47527274
Western Asia,2012,28.10147950625
Western Asia,2013,23.87841435
Western Asia,2013,30.29799995
Western Asia,2013,28.03323724533333
Western Asia,2014,24.45872994
Western Asia,2014,30.37119481
Western Asia,2014,28.31582748285714
Western Asia,2015,24.47691928
Western Asia,2015,30.3096262
Western Asia,2015,28.25484282692308
Western Asia,2016,24.494832595
Western Asia,2016,30.2817308375
Western Asia,2016,28.1827479475
